,Currency,Rate
0,AED,3.673104
1,AFN,89.000368
2,ALL,112.950403
3,AMD,448.180403
4,ANG,1.801046
5,AOA,419.261704
6,ARS,119.482651
7,AUD,1.396453
8,AWG,1.8005
9,AZN,1.70397
10,BAM,1.826931
11,BBD,2.017747
12,BDT,87.815504
13,BGN,1.826938
14,BHD,0.376787
15,BIF,2016.0
16,BMD,1.0
17,BND,1.369071
18,BOB,6.87026
19,BRL,4.731041
20,BSD,0.999346
21,BTC,3.4474524e-05
22,BTN,77.552027
23,BWP,12.025406
24,BYN,3.371429
25,BYR,19600.0
26,BZD,2.014357
27,CAD,1.272235
28,CDF,2005.000362
29,CHF,0.957877
30,CLF,0.029953
31,CLP,826.503912
32,CNY,6.698604
33,COP,3922.5
34,CRC,675.023351
35,CUC,1.0
36,CUP,26.5
37,CVE,103.350394
38,CZK,23.005104
39,DJF,177.720394
40,DKK,6.928904
41,DOP,55.260393
42,DZD,145.46604
43,EGP,18.593452
44,ERN,15.000001
45,ETB,51.550392
46,EUR,0.931505
47,FJD,2.145104
48,FKP,0.818331
49,GBP,0.791556
50,GEL,2.890391
51,GGP,0.818331
52,GHS,7.75039
53,GIP,0.818331
54,GMD,54.12504
55,GNF,8830.000355
56,GTQ,7.669718
57,GYD,209.107043
58,HKD,7.849325
59,HNL,24.550389
60,HRK,7.024504
61,HTG,111.923221
62,HUF,367.209504
63,IDR,14539.4
64,ILS,3.34965
65,IMP,0.818331
66,INR,77.692204
67,IQD,1460.0
68,IRR,42400.000352
69,ISK,128.290386
70,JEP,0.818331
71,JMD,154.249019
72,JOD,0.70904
73,JPY,127.108504
74,KES,116.750385
75,KGS,80.773704
76,KHR,4061.000351
77,KMF,459.750384
78,KPW,900.000222
79,KRW,1258.370384
80,KWD,0.305704
81,KYD,0.832711
82,KZT,434.966583
83,LAK,13450.000349
84,LBP,1517.000349
85,LKR,354.751305
86,LRD,151.503775
87,LSL,15.680382
88,LTL,2.95274
89,LVL,0.60489
90,LYD,4.780381
91,MAD,9.909504
92,MDL,19.037695
93,MGA,3982.503758
94,MKD,57.553722
95,MMK,1850.263502
96,MNT,3075.770799
97,MOP,8.079732
98,MRO,356.999828
99,MUR,43.323553
100,MVR,15.445039
101,MWK,815.503739
102,MXN,19.581704
103,MYR,4.379039
104,MZN,63.830377
105,NAD,15.603729
106,NGN,415.220377
107,NIO,35.850377
108,NOK,9.463204
109,NPR,124.086009
110,NZD,1.529824
111,OMR,0.38502
112,PAB,0.999253
113,PEN,3.660504
114,PGK,3.510375
115,PHP,52.325039
116,PKR,200.103704
117,PLN,4.25895
118,PYG,6862.693817
119,QAR,3.641038
120,RON,4.604504
121,RSD,109.414066
122,RUB,65.750104
123,RWF,1028.0
124,SAR,3.75099
125,SBD,8.126843
126,SCR,12.740906
127,SDG,455.503678
128,SEK,9.81045
129,SGD,1.374504
130,SHP,1.377404
131,SLL,13100.000339
132,SOS,583.000338
133,SRD,21.058504
134,STD,20697.981008
135,SVC,8.743981
136,SYP,2512.450518
137,SZL,15.603655
138,THB,34.08037
139,TJS,12.389804
140,TMT,3.5
141,TND,3.034038
142,TOP,2.31355
143,TRY,16.216625
144,TTD,6.780964
145,TWD,29.314304
146,TZS,2327.000336
147,UAH,29.524686
148,UGX,3712.560308
149,USD,1.0
150,UYU,40.037362
151,UZS,11045.000335
152,VEF,213830222338.07285
153,VND,23197.5
154,VUV,114.265663
155,WST,2.579343
156,XAF,612.711801
157,XAG,0.045219
158,XAU,0.000539
159,XCD,2.70255
160,XDR,0.74016
161,XOF,610.503602
162,XPF,111.7036
163,YER,250.250364
164,ZAR,15.605304
165,ZMK,9001.203593
166,ZMW,17.213714
167,ZWL,321.999592
